pvt_occ_means_vec,Prob
1.24,5.00E-05
1.26,5.00E-05
1.29,5.00E-05
1.31,3.00E-04
1.32,1.00E-04
1.33,4.00E-04
1.34,3.50E-04
1.35,5.50E-04
1.36,5.00E-04
1.37,1.00E-03
1.38,1.35E-03
1.39,1.70E-03
1.4,2.55E-03
1.41,2.25E-03
1.42,2.70E-03
1.43,6.30E-03
1.44,5.70E-03
1.45,7.60E-03
1.46,8.95E-03
1.47,1.11E-02
1.48,1.21E-02
1.49,1.51E-02
1.5,1.92E-02
1.51,1.99E-02
1.52,2.43E-02
1.53,2.74E-02
1.54,2.89E-02
1.55,3.24E-02
1.56,3.36E-02
1.57,3.51E-02
1.58,3.68E-02
1.59,3.66E-02
1.6,3.86E-02
1.61,4.13E-02
1.62,4.06E-02
1.63,4.19E-02
1.64,4.16E-02
1.65,3.70E-02
1.66,3.77E-02
1.67,3.70E-02
1.68,3.51E-02
1.69,3.25E-02
1.7,2.94E-02
1.71,2.71E-02
1.72,2.49E-02
1.73,2.32E-02
1.74,1.77E-02
1.75,1.63E-02
1.76,1.62E-02
1.77,1.37E-02
1.78,1.28E-02
1.79,1.02E-02
1.8,9.00E-03
1.81,6.95E-03
1.82,6.70E-03
1.83,6.40E-03
1.84,4.35E-03
1.85,2.95E-03
1.86,3.10E-03
1.87,2.95E-03
1.88,1.55E-03
1.89,1.75E-03
1.9,1.20E-03
1.91,1.20E-03
1.92,1.05E-03
1.93,6.50E-04
1.94,2.00E-04
1.95,3.00E-04
1.96,2.50E-04
1.97,1.50E-04
1.98,1.00E-04
1.99,1.00E-04
2.01,1.50E-04
2.02,5.00E-05
2.04,5.00E-05
2.05,5.00E-05
2.06,5.00E-05
